word,phonemes_arpabet
cat,K AE T
hat,HH AE T
bat,B AE T
rat,R AE T
mat,M AE T
map,M AE P
cap,K AE P
nap,N AE P
bag,B AE G
tag,T AE G
jam,JH AE M
ham,HH AE M
van,V AE N
fan,F AE N
pan,P AE N
man,M AE N
dad,D AE D
sad,S AE D
lap,L AE P
wag,W AE G
pig,P IH G
big,B IH G
dig,D IH G
wig,W IH G
sit,S IH T
fin,F IH N
pin,P IH N
lip,L IH P
zip,Z IH P
kid,K IH D
dog,D AO G
log,L AO G
hop,HH AA P
top,T AA P
pot,P AA T
hot,HH AA T
fox,F AA K S
box,B AA K S
mop,M AA P
rod,R AA D
sun,S AH N
run,R AH N
bun,B AH N
bug,B AH G
hug,HH AH G
mug,M AH G
cup,K AH P
pup,P AH P
bus,B AH S
tub,T AH B
nut,N AH T
bed,B EH D
red,R EH D
pen,P EH N
hen,HH EH N
ten,T EH N
net,N EH T
wet,W EH T
web,W EH B
leg,L EH G
ship,SH IH P
shop,SH AA P
fish,F IH SH
dish,D IH SH
wish,W IH SH
chin,CH IH N
chip,CH IH P
chop,CH AA P
rich,R IH CH
thin,TH IH N
moth,M AO TH
bath,B AE TH
duck,D AH K
sock,S AA K
rock,R AA K
kick,K IH K
bell,B EH L
doll,D AA L
hill,HH IH L
kiss,K IH S
frog,F R AA G
stop,S T AA P
flag,F L AE G
crab,K R AE B
drum,D R AH M
clap,K L AE P
plum,P L AH M
swim,S W IH M
sled,S L EH D
snap,S N AE P
spot,S P AA T
trip,T R IH P
jump,JH AH M P
hand,HH AE N D
nest,N EH S T
milk,M IH L K
tent,T EH N T
lamp,L AE M P
belt,B EH L T
gift,G IH F T
cake,K EY K
lake,L EY K
game,G EY M
gate,G EY T
bike,B AY K
kite,K AY T
time,T AY M
ride,R AY D
five,F AY V
home,HH OW M
bone,B OW N
rope,R OW P
nose,N OW Z
cube,K Y UW B
tube,T UW B
cute,K Y UW T
mule,M Y UW L
hope,HH OW P
lime,L AY M
wave,W EY V
rain,R EY N
tail,T EY L
snail,S N EY L
feet,F IY T
bee,B IY
tree,T R IY
seed,S IY D
sheep,SH IY P
boat,B OW T
goat,G OW T
road,R OW D
soap,S OW P
car,K AA R
star,S T AA R
park,P AA R K
farm,F AA R M
fork,F AO R K
corn,K AO R N
horn,HH AO R N
storm,S T AO R M
