word,letter_count,syllable_count,phoneme_count,phonemes_arpabet,preschool_prep_level,dolch_level,fry_rank,fry_hundred,other_lists,source_count,suggested_order,syllable_split,syllable_split_status,digraphs,blends,vowel_patterns,decodable_guess
the,3,1,2,DH AH,Level 1,Pre-Primer,1,1st 100,,3,1,,,th,,,yes
and,3,1,3,AE N D,Level 1,Pre-Primer,3,1st 100,,3,2,,,,-nd,,yes
a,1,1,1,AH,Level 1,Pre-Primer,4,1st 100,,3,3,,,,,,yes
to,2,1,2,T UW,Level 1,Pre-Primer,5,1st 100,,3,4,,,,,,no
in,2,1,2,IH N,Level 1,Pre-Primer,6,1st 100,,3,5,,,,,,yes
is,2,1,2,IH Z,Level 1,Pre-Primer,7,1st 100,,3,6,,,,,,yes
you,3,1,2,Y UW,Level 1,Pre-Primer,8,1st 100,,3,7,,,,,team:ou,no
it,2,1,2,IH T,Level 1,Pre-Primer,10,1st 100,,3,8,,,,,,yes
for,3,1,3,F AO R,Level 1,Pre-Primer,13,1st 100,,3,9,,,,,r-controlled:or,yes
I,1,1,1,AY,Level 1,Pre-Primer,20,1st 100,,3,10,,,,,,yes
said,4,1,3,S EH D,Level 1,Pre-Primer,40,1st 100,,3,11,,,,,team:ai,no
play,4,1,3,P L EY,Level 1,Pre-Primer,183,2nd 100,,3,12,,,,pl-,team:ay,yes
that,4,1,3,DH AE T,Level 1,Primer,9,1st 100,,3,13,,,th,,,yes
he,2,1,2,HH IY,Level 1,Primer,11,1st 100,,3,14,,,,,,yes
have,4,1,3,HH AE V,Level 1,Primer,24,1st 100,,3,15,,,,,VCe-exception,no
of,2,1,2,AH V,Level 1,1st Grade,2,1st 100,,3,16,,,,,,no
we,2,1,2,W IY,Level 2,Pre-Primer,36,1st 100,,3,17,,,,,,yes
go,2,1,2,G OW,Level 2,Pre-Primer,74,1st 100,,3,18,,,,,,yes
see,3,1,2,S IY,Level 2,Pre-Primer,75,1st 100,,3,19,,,,,team:ee,yes
my,2,1,2,M AY,Level 2,Pre-Primer,81,1st 100,,3,20,,,,,,yes
here,4,1,3,HH IY R,Level 2,Pre-Primer,164,2nd 100,,3,21,,,,,r-controlled:er,no
was,3,1,3,W AA Z,Level 2,Primer,12,1st 100,,3,22,,,,,,no
on,2,1,2,AA N,Level 2,Primer,14,1st 100,,3,23,,,,,,yes
are,3,1,2,AA R,Level 2,Primer,15,1st 100,,3,24,,,,,r-controlled:ar,no
with,4,1,3,W IH DH,Level 2,Primer,17,1st 100,,3,25,,,th,,,yes
they,4,1,2,DH EY,Level 2,Primer,19,1st 100,,3,26,,,th,,team:ey,yes
but,3,1,3,B AH T,Level 2,Primer,31,1st 100,,3,27,,,,,,yes
she,3,1,2,SH IY,Level 2,Primer,46,1st 100,,3,28,,,sh,,,yes
like,4,1,3,L AY K,Level 2,Primer,65,1st 100,,3,29,,,,,VCe,yes
as,2,1,2,AE Z,Level 2,1st Grade,16,1st 100,,3,30,,,,,,yes
his,3,1,3,HH IH Z,Level 2,1st Grade,18,1st 100,,3,31,,,,,,yes
had,3,1,3,HH AE D,Level 2,1st Grade,28,1st 100,,3,32,,,,,,yes
one,3,1,3,W AH N,Level 3,Pre-Primer,27,1st 100,,3,33,,,,,VCe-exception,no
up,2,1,2,AH P,Level 3,Pre-Primer,52,1st 100,,3,34,,,,,,yes
look,4,1,3,L UH K,Level 3,Pre-Primer,70,1st 100,,3,35,,,,,team:oo,yes
at,2,1,2,AE T,Level 3,Primer,21,1st 100,,3,36,,,,,,yes
be,2,1,2,B IY,Level 3,Primer,22,1st 100,,3,37,,,,,,yes
this,4,1,3,DH IH S,Level 3,Primer,23,1st 100,,3,38,,,th,,,yes
all,3,1,2,AO L,Level 3,Primer,34,1st 100,,3,39,,,,,,yes
there,5,1,3,DH EH R,Level 3,Primer,41,1st 100,,3,40,,,th,,r-controlled:er,no
from,4,1,4,F R AH M,Level 3,1st Grade,25,1st 100,,3,41,,,,fr-,,no
by,2,1,2,B AY,Level 3,1st Grade,29,1st 100,,3,42,,,,,,yes
some,4,1,3,S AH M,Level 3,1st Grade,61,1st 100,,3,43,,,,,VCe-exception,no
her,3,1,2,HH ER,Level 3,1st Grade,62,1st 100,,3,44,,,,,r-controlled:er,yes
him,3,1,3,HH IH M,Level 3,1st Grade,66,1st 100,,3,45,,,,,,yes
or,2,1,2,AO R,Level 3,2nd Grade,26,1st 100,,3,46,,,,,r-controlled:or,yes
word,4,1,3,W ER D,Level 3,,,,,1,47,,,,,r-controlled:or,no
not,3,1,3,N AA T,Level 4,Pre-Primer,32,1st 100,,3,48,,,,,,yes
can,3,1,3,K AE N,Level 4,Pre-Primer,39,1st 100,,3,49,,,,,,yes
down,4,1,3,D AW N,Level 4,Pre-Primer,93,1st 100,,3,50,,,,,team:ow,yes
little,6,2,5,L IH T AH L,Level 4,Pre-Primer,106,2nd 100,,3,51,lit-tle,ok,,,,yes
what,4,1,3,W AH T,Level 4,Primer,33,1st 100,,3,52,,,wh,,,no
do,2,1,2,D UW,Level 4,Primer,47,1st 100,,3,53,,,,,,no
out,3,1,2,AW T,Level 4,Primer,55,1st 100,,3,54,,,,,team:ou,yes
am,2,1,2,AE M,Level 4,Primer,88,1st 100,Fry pre-update sightwords.com #482,3,55,,,,,,yes
came,4,1,3,K EY M,Level 4,Primer,143,2nd 100,,3,56,,,,,VCe,yes
were,4,1,2,W ER,Level 4,1st Grade,35,1st 100,,3,57,,,,,r-controlled:er,no
when,4,1,3,W EH N,Level 4,1st Grade,37,1st 100,,3,58,,,wh,,,yes
then,4,1,3,DH EH N,Level 4,1st Grade,57,1st 100,,3,59,,,th,,,yes
